pwc_task_label,pwc_area_label,record_count,task_total_records,area_total_records
Hurtful Sentence Completion,Natural Language Processing,1,1,40996
Table annotation,Graphs,1,31,12318
Majority Voting Classifier,Natural Language Processing,1,4,40996
Morphological Disambiguation,General,1,32,114234
Morphological Disambiguation,Sequential,1,32,6593
Reverse Dictionary,Graphs,1,35,12318
Vision-Language Navigation,Reinforcement Learning,1,80,6988
TFLM sequence generation,General,1,1,114234
TFLM sequence generation,Computer Vision,1,1,54472
Underwater Image Restoration,Sequential,1,38,6593
2D Pose Estimation,Audio,1,90,488
Image Restoration,Audio,1,1454,488
Underwater Image Restoration,Audio,1,38,488
Avg,Graphs,1,117,12318
MRI classification,Graphs,1,19,12318
Bidirectional Relationship Classification,Graphs,1,1,12318
Learning Semantic Representations,Sequential,1,38,6593
Initial Structure to Relaxed Energy (IS2RE),Computer Vision,1,4,54472
Demosaicking,Graphs,1,149,12318
Rotated MNIST,Graphs,1,40,12318
Self-supervised Video Retrieval,Computer Vision,1,10,54472
Self-supervised Video Retrieval,General,1,10,114234
Citation Recommendation,Sequential,1,55,6593
TREC 2019 Passage Ranking,General,1,1,114234
TREC 2019 Passage Ranking,Natural Language Processing,1,1,40996
Generic Event Boundary Detection,Graphs,1,20,12318
Moving Object Detection,Natural Language Processing,1,70,40996
de-en,Sequential,1,78,6593
Cloud Removal,Sequential,1,56,6593
Structual Feature Correlation,Graphs,1,1,12318
Zero-Shot Environment Sound Classification,Computer Vision,1,6,54472
document-image-classification,Graphs,1,32,12318
Document Image Classification,Graphs,1,50,12318
Patent classification,Graphs,1,36,12318
Landmark Recognition,Natural Language Processing,1,33,40996
Landmark Recognition,Graphs,1,33,12318
Text-Independent Speaker Verification,Audio,1,70,488
Accented Speech Recognition,Graphs,1,20,12318
3D Volumetric Reconstruction,General,1,10,114234
Human Body Volume Estimation,General,1,2,114234
3D Volumetric Reconstruction,Computer Vision,1,10,54472
Human Body Volume Estimation,Computer Vision,1,2,54472
3D Unsupervised Domain Adaptation,Natural Language Processing,1,4,40996
Melody Extraction,Natural Language Processing,1,16,40996
Key Detection,Audio,1,15,488
Learning Language specific models,General,1,1,114234
White Matter Fiber Tractography,Computer Vision,1,2,54472
Video Retrieval,Reinforcement Learning,1,485,6988
Social Cue Forecasting,General,1,1,114234
Human Behavior Forecasting,Graphs,1,4,12318
Social Cue Forecasting,Graphs,1,1,12318
Defocus Estimation,Computer Vision,1,8,54472
Defocus Estimation,General,1,8,114234
Email Thread Summarization,General,1,2,114234
Email Thread Summarization,Natural Language Processing,1,2,40996
Surface Normal Estimation,Graphs,1,95,12318
Traffic Data Imputation,Sequential,1,23,6593
3D Human Shape Estimation,Natural Language Processing,1,33,40996
Inference Optimization,Sequential,1,56,6593
Pancreas Segmentation,Graphs,1,60,12318
Image Attribution,Graphs,1,26,12318
3D Geometry Perception,Graphs,1,5,12318
Lung Nodule Classification,Graphs,1,35,12318
Video-to-image Affordance Grounding,Sequential,1,4,6593
Aspect Sentiment Triplet Extraction,Reinforcement Learning,1,52,6988
Spatial Interpolation,Reinforcement Learning,1,60,6988
Spatio-Temporal Forecasting,Reinforcement Learning,1,87,6988
Overlapped 19-1,Computer Vision,1,5,54472
3D Face Modelling,Reinforcement Learning,1,31,6988
Overlapped 19-1,Reinforcement Learning,1,5,6988
3D Object Detection From Stereo Images,Graphs,1,14,12318
Multi-label zero-shot learning,Natural Language Processing,1,27,40996
Semantic Text Matching,Graphs,1,11,12318
blind source separation,Reinforcement Learning,1,211,6988
Code Search,Reinforcement Learning,1,124,6988
Traffic Accident Detection,Sequential,1,8,6593
Low-light Pedestrian Detection,Computer Vision,1,2,54472
Thermal Infrared Pedestrian Detection,Computer Vision,1,1,54472
Low-light Pedestrian Detection,General,1,2,114234
Thermal Infrared Pedestrian Detection,General,1,1,114234
Automated Theorem Proving,Sequential,1,287,6593
Logical Sequence,Sequential,1,9,6593
Reading Order Detection,General,1,6,114234
Document Layout Analysis,Sequential,1,98,6593
Reading Order Detection,Sequential,1,6,6593
Image Retargeting,Graphs,1,26,12318
Joint Entity and Relation Extraction,Reinforcement Learning,1,85,6988
Hindi Image Captioning,Sequential,1,3,6593
Cantilever Beam,Graphs,1,25,12318
Emotion Classification,Audio,1,453,488
Sentiment Analysis,Audio,1,5588,488
Few-shot Age Estimation,General,1,2,114234
Authorship Verification,Graphs,1,67,12318
Approximating Betweenness-Centrality ranking,Graphs,1,2,12318
Graphon Estimation,Graphs,1,21,12318
"Classification of toxic, engaging, fact-claiming comments",General,1,1,114234
Engaging Comment Classification,General,1,2,114234
Fact-Claiming Comment Classification,General,1,3,114234
"Classification of toxic, engaging, fact-claiming comments",Natural Language Processing,1,1,40996
Engaging Comment Classification,Natural Language Processing,1,2,40996
Fact-Claiming Comment Classification,Natural Language Processing,1,3,40996
Seeing Beyond the Visible,Computer Vision,1,8,54472
Learning Semantic Representations,Reinforcement Learning,1,38,6988
Dialog Relation Extraction,Graphs,1,14,12318
4-ary Relation Extraction,Natural Language Processing,1,2,40996
Role-filler Entity Extraction,Natural Language Processing,1,2,40996
Relationship Detection,Sequential,1,86,6593
Visual Relationship Detection,Sequential,1,82,6593
Semantic Image Similarity,Computer Vision,1,2,54472
Novel Object Detection,Reinforcement Learning,1,53,6988
TriviaQA,Reinforcement Learning,1,121,6988
relation explanation,General,1,1,114234
relation explanation,Natural Language Processing,1,1,40996
Generalized Zero-Shot Object Detection,Graphs,1,10,12318
AMR Parsing,Graphs,1,113,12318
Toxic Spans Detection,Computer Vision,1,37,54472
Claim Verification,Reinforcement Learning,1,132,6988
Dynamic Reconstruction,Graphs,1,64,12318
Emotion-Cause Pair Extraction,Computer Vision,1,46,54472
Aspect Extraction,Graphs,1,92,12318
Toponym Recognition,General,1,11,114234
Toponym Recognition,Natural Language Processing,1,11,40996
AMR-to-Text Generation,Reinforcement Learning,1,35,6988
Aspect Category Detection,Sequential,1,31,6593
Aspect Category Polarity,Sequential,1,6,6593
Aspect Category Polarity,Computer Vision,1,6,54472
ContextNER,General,1,1,114234
Semi-Supervised Fashion Compatibility,General,1,2,114234
EEG based sleep staging,Graphs,1,10,12318
Context Aware Product Recommendation,General,1,2,114234
Unsupervised 3D Human Pose Estimation,Sequential,1,15,6593
Weakly-supervised 3D Human Pose Estimation,Sequential,1,29,6593
Contextualised Word Representations,Graphs,1,7,12318
Intent Classification and Slot Filling,Graphs,1,33,12318
New Product Sales Forecasting,Natural Language Processing,1,5,40996
Role Embedding,Natural Language Processing,1,6,40996
Next-basket recommendation,Graphs,1,18,12318
domain classification,Audio,1,159,488
Multimodal Activity Recognition,Graphs,1,30,12318
CW Attack Detection,Computer Vision,1,2,54472
Reliable Intelligence Identification,General,1,4,114234
Online Action Detection,Sequential,1,39,6593
Radar odometry,General,1,9,114234
Right Ventricle Segmentation,Graphs,1,5,12318
Dielectric Constant,General,1,17,114234
Temporal Tagging,General,1,14,114234
Word Alignment,Audio,1,545,488
Vietnamese Word Segmentation,General,1,11,114234
Table Functional Analysis,General,1,1,114234
Table Functional Analysis,Computer Vision,1,1,54472
Table Functional Analysis,Natural Language Processing,1,1,40996
Adroid door-cloned,Reinforcement Learning,1,1,6988
Adroid door-human,Reinforcement Learning,1,1,6988
Adroid hammer-cloned,Reinforcement Learning,1,1,6988
Adroid hammer-human,Reinforcement Learning,1,1,6988
Adroid pen-cloned,Reinforcement Learning,1,1,6988
Adroid pen-human,Reinforcement Learning,1,1,6988
Adroid relocate-cloned,Reinforcement Learning,1,1,6988
Adroid relocate-human,Reinforcement Learning,1,1,6988
Gym halfcheetah-expert,Reinforcement Learning,1,1,6988
Gym halfcheetah-full-replay,Reinforcement Learning,1,1,6988
Gym halfcheetah-medium,Reinforcement Learning,1,2,6988
Gym halfcheetah-medium-expert,Reinforcement Learning,1,2,6988
Gym halfcheetah-medium-replay,Reinforcement Learning,1,2,6988
Gym halfcheetah-random,Reinforcement Learning,1,2,6988
Face Transfer,Graphs,1,8,12318
Online unsupervised domain adaptation,Computer Vision,1,8,54472
Spelling Correction,Reinforcement Learning,1,192,6988
Flare Removal,Graphs,1,24,12318
Event-based Object Segmentation,Natural Language Processing,1,8,40996
Event-Based Video Reconstruction,Natural Language Processing,1,12,40996
Face Image Retrieval,Computer Vision,1,15,54472
Video Deblurring,Sequential,1,84,6593
Fine-Grained Opinion Analysis,Sequential,1,19,6593
Cancer-no cancer per breast classification,General,1,2,114234
Cancer-no cancer per breast classification,Computer Vision,1,2,54472
Video-to-Shop,General,1,3,114234
3D geometry,Sequential,1,682,6593
Action Parsing,General,1,14,114234
Action Parsing,Computer Vision,1,14,54472
Semi-Supervised Image Classification (Cold Start),General,1,1,114234
Spoken Command Recognition,Reinforcement Learning,1,10,6988
Lexical Normalization,Graphs,1,47,12318
Handwriting Recognition,Reinforcement Learning,1,171,6988
Handwritten Text Recognition,Reinforcement Learning,1,139,6988
HTR,Reinforcement Learning,1,84,6988
Linear evaluation,Reinforcement Learning,1,128,6988
Direction of Arrival Estimation,Computer Vision,1,94,54472
Constrained Clustering,Sequential,1,72,6593
COVID-19 Modelling,Computer Vision,1,3,54472
3D Building Mesh Labeling,Graphs,1,1,12318
Cross-lingual zero-shot dependency parsing,General,1,4,114234
Cloud Removal,Graphs,1,56,12318
Audio-Visual Active Speaker Detection,Natural Language Processing,1,25,40996
Behavioural cloning,Graphs,1,45,12318
Cross-Lingual Entity Linking,Natural Language Processing,1,21,40996
Cross-Lingual Entity Linking,General,1,21,114234
Lossy-Compression Artifact Reduction,General,1,3,114234
Time Series Streams,General,1,4,114234
Iris Segmentation,Natural Language Processing,1,37,40996
Video-Guided Machine Translation,General,1,7,114234
Text based Person Retrieval,Graphs,1,49,12318
Parameter Prediction,Graphs,1,51,12318
Webpage Object Detection,General,1,3,114234
Webpage Object Detection,Computer Vision,1,3,54472
Domain-IL Continual Learning,Computer Vision,1,1,54472
Domain-IL Continual Learning,General,1,1,114234
Domain-IL Continual Learning,Sequential,1,1,6593
Split-CIFAR-10,Sequential,1,10,6593
Split-MNIST,Sequential,1,28,6593
Domain-IL Continual Learning,Natural Language Processing,1,1,40996
Domain-IL Continual Learning,Reinforcement Learning,1,1,6988
Permuted-MNIST,Reinforcement Learning,1,37,6988
Split-CIFAR-10,Reinforcement Learning,1,10,6988
Split-MNIST,Reinforcement Learning,1,28,6988
Out of Distribution (OOD) Detection,Sequential,1,627,6593
tensor algebra,Graphs,1,41,12318
Set-to-Graph Prediction,General,1,1,114234
Hyperedge Prediction,Natural Language Processing,1,20,40996
Set-to-Graph Prediction,Natural Language Processing,1,1,40996
Humanitarian,Graphs,1,185,12318
Review Generation,Graphs,1,51,12318
Scene Labeling,Graphs,1,45,12318
Noisy Speech Recognition,Graphs,1,13,12318
Gender Bias Detection,Natural Language Processing,1,17,40996
Cross-Domain Iris Presentation Attack Detection,Computer Vision,1,4,54472
Galaxy emergent property recreation,Computer Vision,1,1,54472
Video Salient Object Detection,Graphs,1,48,12318
Sensitivity Classification,Graphs,1,2,12318
coreference-resolution,Reinforcement Learning,1,584,6988
Coreference Resolution,Reinforcement Learning,1,869,6988
Intent Discovery,Reinforcement Learning,1,42,6988
Facial Emotion Recognition,Sequential,1,81,6593
Face Presentation Attack Detection,Sequential,1,70,6593
JPEG Decompression,Computer Vision,1,1,54472
Uncropping,Computer Vision,1,2,54472
Video Polyp Segmentation,Graphs,1,25,12318
Hand Detection,Sequential,1,62,6593
Meter Reading,Reinforcement Learning,1,9,6988
Abnormal Event Detection In Video,Graphs,1,17,12318
Weakly Supervised Defect Detection,Computer Vision,1,5,54472
Chinese Word Segmentation,Audio,1,241,488
Part-Of-Speech Tagging,Audio,1,985,488
POS Tagging,Audio,1,516,488
MHC presentation prediction,General,1,4,114234
Rotated MNIST,Sequential,1,40,6593
Image-Variation,Graphs,1,24,12318
Image-text Retrieval,Sequential,1,246,6593
EEG Artifact Removal,Computer Vision,1,8,54472
Seismic Inversion,Natural Language Processing,1,25,40996
Point Set Upsampling,General,1,5,114234
Point Set Upsampling,Computer Vision,1,5,54472
Point Set Upsampling,Natural Language Processing,1,5,40996
Toxic Comment Classification,Graphs,1,28,12318
Open Set Video Captioning,General,1,1,114234
3D Point Cloud Reinforcement Learning,General,1,3,114234
Single-step retrosynthesis,Graphs,1,34,12318
Relation Linking,Sequential,1,17,6593
Unsupervised Sentence Summarization,General,1,7,114234
Unsupervised Sentence Summarization,Natural Language Processing,1,7,40996
Cross-Lingual Word Embeddings,Graphs,1,103,12318
Multilingual Word Embeddings,Graphs,1,56,12318
Speaker Profiling,Natural Language Processing,1,8,40996
SSTOD,Computer Vision,1,1,54472
Semantic Text Matching,Sequential,1,11,6593
3D Point Cloud Linear Classification,Natural Language Processing,1,21,40996
Few-Shot Point Cloud Classification,Natural Language Processing,1,4,40996
Generalized Referring Expression Segmentation,Graphs,1,15,12318
Object Hallucination,Graphs,1,71,12318
Self-Supervised Action Recognition Linear,Natural Language Processing,1,11,40996
Face Sketch Synthesis,Graphs,1,18,12318
Irregular Text Recognition,Natural Language Processing,1,7,40996
Multiview Clustering,Computer Vision,1,13,54472
Personalized Federated Learning,Reinforcement Learning,1,311,6988
Voice Query Recognition,Sequential,1,3,6593
Voice Query Recognition,Computer Vision,1,3,54472
3D Shape Reconstruction From A Single 2D Image,General,1,10,114234
3D Object Detection From Monocular Images,Computer Vision,1,17,54472
Reflection Removal,Graphs,1,81,12318
Probabilistic Time Series Forecasting,Audio,1,63,488
Zero-Shot Multi-Speaker TTS,Natural Language Processing,1,8,40996
DrugProt,Natural Language Processing,1,5,40996
Eikonal Tomography,General,1,1,114234
Eikonal Tomography,Computer Vision,1,1,54472
Vision-Language Navigation,Graphs,1,80,12318
CT Reconstruction,Sequential,1,235,6593
Image to text,Sequential,1,245,6593
Panoptic Tracking,Computer Vision,1,6,54472
Face Quality Assessement,General,1,4,114234
Cross-Modality Person Re-identification,Graphs,1,26,12318
W-R-L-D Sleep Staging,General,1,1,114234
W-R-N Sleep Staging,General,1,1,114234
Visual Commonsense Reasoning,Graphs,1,65,12318
EEG Emotion Recognition,Computer Vision,1,35,54472
Geometric Matching,Natural Language Processing,1,45,40996
License Plate Detection,Sequential,1,39,6593
Generalized Few-Shot Classification,General,1,2,114234
Blackout Poetry Generation,General,1,1,114234
Blackout Poetry Generation,Natural Language Processing,1,1,40996
Birds Eye View Object Detection,Graphs,1,8,12318
GPR,Audio,1,269,488
Cause-Effect Relation Classification,General,1,1,114234
Cause-Effect Relation Classification,Natural Language Processing,1,1,40996
Geophysics,Graphs,1,76,12318
Earthquake prediction,Reinforcement Learning,1,18,6988
Earthquake prediction,Graphs,1,18,12318
Relation Linking,Natural Language Processing,1,17,40996
Medical Object Detection,Graphs,1,41,12318
Audio Source Separation,Graphs,1,111,12318
SENTER,Natural Language Processing,1,25,40996
SENTER,Computer Vision,1,25,54472
Neural Network simulation,Natural Language Processing,1,21,40996
Physical Intuition,Graphs,1,35,12318
Physical Intuition,Sequential,1,35,6593
Raspberry Pi 4,Graphs,1,48,12318
Dial Meter Reading,General,1,2,114234
Image-based Automatic Meter Reading,General,1,4,114234
Audio Source Separation,Reinforcement Learning,1,111,6988
Sequence-to-sequence Language Modeling,General,1,5,114234
Majority Voting Classifier,Computer Vision,1,4,54472
Neural Radiance Caching,General,1,3,114234
Neural Radiance Caching,Computer Vision,1,3,54472
Chord Recognition,Sequential,1,21,6593
Subjectivity Analysis,Graphs,1,63,12318
Face Generation,Reinforcement Learning,1,380,6988
Medical Image Denoising,Natural Language Processing,1,21,40996
Aspect Category Polarity,Graphs,1,6,12318
Test unseen,Natural Language Processing,1,8,40996
Ontology Embedding,Graphs,1,18,12318
3D Point Cloud Data Augmentation,Natural Language Processing,1,5,40996
3D Point Cloud Data Augmentation,Graphs,1,5,12318
Space-time Video Super-resolution,Natural Language Processing,1,24,40996
Clustering Ensemble,Graphs,1,25,12318
3D Shape Recognition,Sequential,1,35,6593
Virtual Try-on,Sequential,1,275,6593
Knowledge Graph Embedding,Reinforcement Learning,1,461,6988
3D Facial Expression Recognition,Graphs,1,13,12318
Image Matching,Computer Vision,1,18,54472
Manufacturing simulation,General,1,2,114234
Document Text Classification,Natural Language Processing,1,6,40996
Position,Audio,1,3658,488
Unsupervised Skeleton Based Action Recognition,General,1,11,114234
Problem Decomposition,Graphs,1,54,12318
Isaac Gym Preview,Computer Vision,1,2,54472
Omniverse Isaac Gym,Computer Vision,1,4,54472
Isaac Gym Preview,General,1,2,114234
Isaac Gym Preview,Reinforcement Learning,1,2,6988
Graph Mining,Sequential,1,174,6593
No vs SIMKAP,General,1,1,114234
SIMKAP multitask,General,1,1,114234
Mental Workload Estimation,Natural Language Processing,1,4,40996
No vs SIMKAP,Natural Language Processing,1,1,40996
SIMKAP multitask,Natural Language Processing,1,1,40996
de-en,Graphs,1,78,12318
Traffic Classification,Reinforcement Learning,1,110,6988
3D Semantic Segmentation,Audio,1,346,488
Real-Time 3D Semantic Segmentation,Audio,1,3,488
Unsupervised Pre-training,Audio,1,263,488
Lighting Estimation,Graphs,1,51,12318
Bird Audio Detection,Computer Vision,1,6,54472
Duplicate-Question Retrieval,General,1,4,114234
News Retrieval,General,1,11,114234
Tweet Retrieval,General,1,4,114234
News Retrieval,Natural Language Processing,1,11,40996
Tweet Retrieval,Natural Language Processing,1,4,40996
ST-MoE-L 4.1B (fine-tuned),General,1,1,114234
ST-MoE-L 4.1B (fine-tuned),Natural Language Processing,1,1,40996
State Space Models,Audio,1,923,488
Open Knowledge Graph Canonicalization,Reinforcement Learning,1,3,6988
Real-Time Semantic Segmentation,Reinforcement Learning,1,144,6988
Pose Contrastive Learning,Computer Vision,1,1,54472
Action Analysis,Graphs,1,40,12318
Action Assessment,Graphs,1,15,12318
Motion Disentanglement,Graphs,1,12,12318
Pose Contrastive Learning,Graphs,1,1,12318
Compressive Sensing,Graphs,1,594,12318
Video Compressive Sensing,Graphs,1,20,12318
Spoken language identification,Sequential,1,50,6593
Constituency Grammar Induction,Reinforcement Learning,1,21,6988
Room Layout Estimation,Natural Language Processing,1,44,40996
Zero-Shot Learning + Domain Generalization,Computer Vision,1,4,54472
Tensor Networks,Reinforcement Learning,1,226,6988
Object Reconstruction,Sequential,1,290,6593
Wikipedia Summarization,General,1,3,114234
Wikipedia Summarization,Natural Language Processing,1,3,40996
Clustering Ensemble,Computer Vision,1,25,54472
COVID-19 Tracking,General,1,2,114234
Correlated Time Series Forecasting,Reinforcement Learning,1,10,6988
COVID-19 Modelling,Reinforcement Learning,1,3,6988
COVID-19 Tracking,Reinforcement Learning,1,2,6988
Interpretability Techniques for Deep Learning,Reinforcement Learning,1,25,6988
Multivariate Time Series Forecasting,Reinforcement Learning,1,245,6988
New Product Sales Forecasting,Reinforcement Learning,1,5,6988
Univariate Time Series Forecasting,Reinforcement Learning,1,36,6988
RGB+Depth Anomaly Detection and Segmentation,Computer Vision,1,2,54472
Domain 1-1,General,1,5,114234
Domain 11-1,General,1,5,114234
Domain 11-5,General,1,5,114234
Video Action Detection,Sequential,1,32,6593
4D Panoptic Segmentation,Computer Vision,1,9,54472
Face Model,Graphs,1,211,12318
Breast Cancer Histology Image Classification (20% labels),General,1,1,114234
Overlapped 25-25,General,1,1,114234
Parallel Corpus Mining,Graphs,1,13,12318
3D Shape Reconstruction from Videos,General,1,5,114234
3D Shape Reconstruction from Videos,Natural Language Processing,1,5,40996
Drivable Area Detection,General,1,12,114234
Cover song identification,Graphs,1,18,12318
8k,Audio,1,200,488
COVID-19 Diagnosis,Audio,1,210,488
Environmental Sound Classification,Audio,1,45,488
feature selection,Audio,1,2968,488
Sound Classification,Audio,1,146,488
Real-World Adversarial Attack,Reinforcement Learning,1,15,6988
Initial Structure to Relaxed Energy (IS2RE),General,1,4,114234
Aesthetics Quality Assessment,Graphs,1,20,12318
Hierarchical Multi-label Classification,Sequential,1,47,6593
3D Object Detection From Monocular Images,Natural Language Processing,1,17,40996
Neural Network Security,Computer Vision,1,8,54472
Handwritten Document Recognition,Computer Vision,1,6,54472
Length-of-Stay prediction,Graphs,1,28,12318
Fine-Grained Image Recognition,Reinforcement Learning,1,72,6988
Arousal Estimation,Sequential,1,41,6593
Steganalysis,Graphs,1,96,12318
Fire Detection,Sequential,1,61,6593
Seismic Imaging,Graphs,1,44,12318
Music Classification,Sequential,1,52,6593
TAR,Sequential,1,111,6593
Learning to Execute,Computer Vision,1,25,54472
Few-Shot Classification and Segmentation,Natural Language Processing,1,4,40996
Semi-Supervised Object Detection,Graphs,1,114,12318
Analytic Entailment,General,1,2,114234
Crash Blossom,General,1,2,114234
Disambiguation QA,General,1,3,114234
Discourse Marker Prediction,General,1,3,114234
Empirical Judgments,General,1,4,114234
English Proverbs,General,1,3,114234
Entailed Polarity,General,1,2,114234
Evaluating Information Essentiality,General,1,2,114234
Fantasy Reasoning,General,1,2,114234
Figure Of Speech Detection,General,1,2,114234
Formal Fallacies Syllogisms Negation,General,1,3,114234
GRE Reading Comprehension,General,1,2,114234
Human Organs Senses Multiple Choice,General,1,2,114234
Hyperbaton,General,1,3,114234
Identify Odd Metapor,General,1,2,114234
Irony Identification,General,1,2,114234
Logical Args,General,1,2,114234
Metaphor Boolean,General,1,3,114234
Movie Dialog Same Or Different,General,1,2,114234
Nonsense Words Grammar,General,1,2,114234
Penguins In A Table,General,1,4,114234
Phrase Relatedness,General,1,3,114234
Physics MC,General,1,2,114234
Presuppositions As NLI,General,1,2,114234
Reasoning About Colored Objects,General,1,3,114234
Ruin Names,General,1,3,114234
Sentence Ambiguity,General,1,3,114234
Similarities Abstraction,General,1,2,114234
Sports Understanding,General,1,11,114234
Understanding Fables,General,1,2,114234
Analogical Similarity,Natural Language Processing,1,7,40996
Analytic Entailment,Natural Language Processing,1,2,40996
Crash Blossom,Natural Language Processing,1,2,40996
Crass AI,Natural Language Processing,1,3,40996
Disambiguation QA,Natural Language Processing,1,3,40996
Discourse Marker Prediction,Natural Language Processing,1,3,40996
Empirical Judgments,Natural Language Processing,1,4,40996
English Proverbs,Natural Language Processing,1,3,40996
Entailed Polarity,Natural Language Processing,1,2,40996
Evaluating Information Essentiality,Natural Language Processing,1,2,40996
Fantasy Reasoning,Natural Language Processing,1,2,40996
Figure Of Speech Detection,Natural Language Processing,1,2,40996
Formal Fallacies Syllogisms Negation,Natural Language Processing,1,3,40996
GRE Reading Comprehension,Natural Language Processing,1,2,40996
Human Organs Senses Multiple Choice,Natural Language Processing,1,2,40996
Hyperbaton,Natural Language Processing,1,3,40996
Identify Odd Metapor,Natural Language Processing,1,2,40996
Irony Identification,Natural Language Processing,1,2,40996
Logical Args,Natural Language Processing,1,2,40996
Mathematical Induction,Natural Language Processing,1,10,40996
Metaphor Boolean,Natural Language Processing,1,3,40996
Moral Permissibility,Natural Language Processing,1,3,40996
Movie Dialog Same Or Different,Natural Language Processing,1,2,40996
Nonsense Words Grammar,Natural Language Processing,1,2,40996
Odd One Out,Natural Language Processing,1,21,40996
Penguins In A Table,Natural Language Processing,1,4,40996
Phrase Relatedness,Natural Language Processing,1,3,40996
Physics MC,Natural Language Processing,1,2,40996
Presuppositions As NLI,Natural Language Processing,1,2,40996
Reasoning About Colored Objects,Natural Language Processing,1,3,40996
Ruin Names,Natural Language Processing,1,3,40996
Sentence Ambiguity,Natural Language Processing,1,3,40996
Similarities Abstraction,Natural Language Processing,1,2,40996
SNARKS,Natural Language Processing,1,9,40996
Understanding Fables,Natural Language Processing,1,2,40996
Language-Based Temporal Localization,General,1,6,114234
Person-centric Visual Grounding,General,1,3,114234
Natural Language Visual Grounding,Natural Language Processing,1,31,40996
Person-centric Visual Grounding,Natural Language Processing,1,3,40996
Facial Attribute Classification,Graphs,1,37,12318
Audio Multiple Target Classification,General,1,1,114234
Audio Multiple Target Classification,Computer Vision,1,1,54472
Unsupervised Domain Expansion,Computer Vision,1,3,54472
Conversational Recommendation,Sequential,1,136,6593
Cross-Lingual NER,Graphs,1,41,12318
Weakly-supervised 3D Human Pose Estimation,Computer Vision,1,29,54472
Unfairness Detection,Computer Vision,1,7,54472
Unfairness Detection,General,1,7,114234
Hindu Knowledge,General,1,2,114234
Auto Debugging,Natural Language Processing,1,3,40996
Hindu Knowledge,Natural Language Processing,1,2,40996
Action Detection,Audio,1,813,488
Activity Detection,Audio,1,378,488
No real Data Binarization,Computer Vision,1,1,54472
Synthetic Data Binarization,Computer Vision,1,1,54472
Multi-Goal Reinforcement Learning,Sequential,1,34,6593
3D Multi-Person Pose Estimation (root-relative),General,1,18,114234
3D Multi-Person Pose Estimation (absolute),Natural Language Processing,1,20,40996
3D Multi-Person Pose Estimation (root-relative),Natural Language Processing,1,18,40996
Part-aware Panoptic Segmentation,Natural Language Processing,1,8,40996
Part-aware Panoptic Segmentation,Computer Vision,1,8,54472
Fashion Understanding,Computer Vision,1,4,54472
Survival Analysis,Sequential,1,472,6593
RGB-T Salient Object Detection,Natural Language Processing,1,10,40996
Mobile Security,Graphs,1,11,12318
Mobile Security,Natural Language Processing,1,11,40996
Hidden Aspect Detection,General,1,2,114234
Latent Aspect Detection,General,1,1,114234
Hidden Aspect Detection,Natural Language Processing,1,2,40996
Latent Aspect Detection,Natural Language Processing,1,1,40996
Readmission Prediction,Graphs,1,38,12318
Short-observation new product sales forecasting,General,1,2,114234
Burst Image Reconstruction,General,1,3,114234
Burst Image Reconstruction,Natural Language Processing,1,3,40996
Multi-Frame Super-Resolution,Natural Language Processing,1,34,40996
Retinal OCT Layer Segmentation,General,1,3,114234
Retinal OCT Layer Segmentation,Computer Vision,1,3,54472
nlg evaluation,Sequential,1,68,6593
Zero-Shot Intent Classification,General,1,7,114234
Anomaly Classification,Graphs,1,72,12318
Temporal Tagging,Computer Vision,1,14,54472
Seismic Detection,General,1,3,114234
Seismic Detection,Natural Language Processing,1,3,40996
Seismic Detection,Computer Vision,1,3,54472
Passage Re-Ranking,Computer Vision,1,32,54472
Zero-Shot Human-Object Interaction Detection,General,1,9,114234
One-class classifier,Natural Language Processing,1,82,40996
Information Retrieva,Reinforcement Learning,1,1,6988
Movie Recommendation,Reinforcement Learning,1,111,6988
Music Recommendation,Reinforcement Learning,1,118,6988
Reasoning Chain Explanations,Reinforcement Learning,1,3,6988
Video to Text Retrieval,Natural Language Processing,1,13,40996
Few Shot Temporal Action Localization,Graphs,1,5,12318
SQL Parsing,Computer Vision,1,49,54472
AbbreviationDetection,General,1,1,114234
AbbreviationDetection,Natural Language Processing,1,1,40996
Spam detection,Graphs,1,117,12318
Image Classification with Differential Privacy,General,1,8,114234
Exposure Fairness,Computer Vision,1,15,54472
Molecular Graph Generation,Reinforcement Learning,1,54,6988
Face Model,Sequential,1,211,6593
Cross-Lingual Entity Linking,Graphs,1,21,12318
Emotion-Cause Pair Extraction,Graphs,1,46,12318
abstractive question answering,Sequential,1,13,6593
Reading Order Detection,Graphs,1,6,12318
Weakly Supervised 3D Point Cloud Segmentation,Natural Language Processing,1,4,40996
Image Outpainting,Graphs,1,47,12318
Vocal technique classification,Graphs,1,4,12318
Utterance-level pronounciation scoring,General,1,4,114234
Word-level pronunciation scoring,General,1,5,114234
Utterance-level pronounciation scoring,Natural Language Processing,1,4,40996
Word-level pronunciation scoring,Natural Language Processing,1,5,40996
Image-text matching,Reinforcement Learning,1,186,6988
Text Matching,Reinforcement Learning,1,361,6988
Zero-shot Image Retrieval,Reinforcement Learning,1,29,6988
Compressed Image Quality Assessment,General,1,2,114234
Compressed Image Quality Assessment,Natural Language Processing,1,2,40996
Compressed Image Quality Assessment,Computer Vision,1,2,54472
Automated Writing Evaluation,General,1,13,114234
Automated Writing Evaluation,Natural Language Processing,1,13,40996
PII Masking,General,1,3,114234
Lung Nodule Classification,Sequential,1,35,6593
